domain,text,word_count,avg_word_len,single_char_ratio
通用,今天天气很好，我们去公园散步吧,9,1.6666666666666667,0.5555555555555556
通用,这是一个测试句子，用于评估分词效果,9,1.8888888888888888,0.1111111111111111
科技,深度学习是人工智能领域的重要技术,8,2.0,0.25
科技,自然语言处理技术在智能客服中广泛应用,8,2.25,0.25
科技,神经网络模型在图像识别任务中表现出色,7,2.5714285714285716,0.2857142857142857
医疗,患者出现发热、咳嗽等症状,7,1.7142857142857142,0.2857142857142857
医疗,建议进行血常规和胸部CT检查,7,2.0,0.14285714285714285
医疗,诊断为上呼吸道感染，需要抗感染治疗,8,2.125,0.25
法律,根据合同法第五十二条规定,5,2.4,0.2
法律,被告应承担违约责任并赔偿损失,6,2.3333333333333335,0.3333333333333333
法律,原告请求判令被告支付货款及利息,8,1.875,0.125
金融,股票市场今日大幅波动，沪指下跌,8,1.875,0.375
金融,央行宣布降低存款准备金率,5,2.4,0.0
金融,该公司发布年度财务报告，净利润增长,8,2.125,0.25
