词语,聚类
n,4
vt,4
wd,4
m,4
的,4
ud,4
vn,4
p,7
wj,4
a,4
d,2
ns,3
c,4
t,6
wu,4
f,4
rz,4
vi,4
vl,4
nrf,1
在,7
nrg,1
rr,2
了,2
nt,3
和,4
ul,2
是,4
qe,2
vu,2
wyz,4
wyy,4
b,4
一,4
dc,2
jn,3
年,6
ad,4
001,5
df,2
vq,2
wky,1
wkz,1
002,5
不,2
为,7
有,4
u,4
003,5
Ng,4
19980106,5
上,2
s,3
qd,6
mq,2
qt,6
nz,4
月,6
004,5
19980105,5
中,4
对,7
iv,4
发展,3
nr,4
这,4
19980107,5
中国,3
shang5,2
wm,4
与,7
企业,3
日,6
005,5
经济,3
到,2
他,2
工作,2
等,4
多,2
大,2
006,5
要,2
19980108,5
wei4,7
02,5
也,2
就,2
将,2
r,4
个,2
新,2
以,7
vx,4
地,0
01,5
wf,4
说,4
国家,3
人,4
我们,2
007,5
03,5
j,4
ui,0
008,5
04,5
从,7
l,4
lv,4
记者,1
一个,2
建设,3
w,1
qv,2
两,4
an,4
我,2
v,4
都,2
市场,3
万,6
Vg,4
而,2
人民,3
07,5
19980101,5
后,4
全国,3
来,4
并,2
政府,3
009,5
y,2
问题,3
把,7
已,2
05,5
时,4
本报,1
使,4
着,0
元,6
06,5
下,4
还,2
19980104,5
uz,0
好,2
09,5
于,7
向,7
19980103,5
10,5
最,2
能,2
同志,2
进行,4
社会,3
领导,2
管理,3
由,7
但,2
ry,2
他们,2
我国,3
改革,3
z,4
被,7
高,2
张,1
又,2
北京,6
wp,4
党,2
价格,3
群众,3
李,1
世界,3
电,1
010,5
提高,3
出,2
之,4
qz,4
11,5
金融,3
国际,3
新华社,1
更,2
重要,2
生产,3
起,2
所,4
关系,3
三,4
技术,3
部门,3
19980102,5
地区,3
