词语,聚类
n,1
vt,1
wd,1
m,5
的,1
ud,1
vn,2
p,0
wj,1
a,1
d,1
ns,5
c,1
t,0
wu,2
f,3
rz,1
vi,5
vl,1
nrf,6
在,0
nrg,6
rr,1
了,3
nt,5
和,2
ul,3
是,1
qe,5
vu,1
wyz,5
wyy,5
b,2
一,1
dc,1
jn,2
年,0
ad,1
001,7
df,1
vq,3
wky,5
wkz,5
002,7
不,1
为,0
有,1
u,1
003,7
Ng,5
19980106,7
上,3
s,1
qd,5
mq,1
qt,3
nz,5
月,0
004,7
19980105,7
中,1
对,0
iv,1
发展,2
nr,1
这,1
19980107,7
中国,2
shang5,3
wm,1
与,0
企业,2
日,6
005,7
经济,2
到,3
他,1
工作,3
等,2
多,5
大,5
006,7
要,1
19980108,7
wei4,0
02,7
也,1
就,1
将,0
r,1
个,5
新,1
以,0
vx,1
地,1
01,7
wf,1
说,1
国家,2
人,1
我们,1
007,7
03,7
j,5
ui,1
008,7
04,7
从,0
l,5
lv,1
记者,6
一个,1
建设,2
w,6
qv,5
两,5
an,1
我,1
v,5
都,1
市场,2
万,5
Vg,5
而,1
人民,1
07,7
19980101,7
后,3
全国,2
来,3
并,1
政府,2
009,7
y,3
问题,1
把,0
已,1
05,7
时,3
本报,6
使,1
着,4
元,5
06,7
下,3
还,1
19980104,7
uz,4
好,3
09,7
于,0
向,0
19980103,7
10,7
最,1
能,1
同志,3
进行,0
社会,2
领导,1
管理,2
由,0
但,1
ry,1
他们,1
我国,2
改革,2
z,1
被,0
高,5
张,5
又,1
北京,5
wp,5
党,1
价格,2
群众,1
李,5
世界,2
电,6
010,7
提高,2
出,3
之,1
qz,1
11,7
金融,2
国际,2
新华社,6
更,1
重要,2
生产,2
起,3
所,1
关系,2
三,5
技术,2
部门,2
19980102,7
地区,2
